"Timeperiod_Desc","Marketing_Year","MY_Definition","Commodity","Attribute_Desc","Attribute_Desc2","Amount","Unit_Desc","Table_number","Table_name"
"MY Total","1999/00","September-August","Soybeans","Price spread","Price Spread Between Value of Products and Soybean Price Dollars","0.66468","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybean oil","Yield","Soybean Oil Yield Pounds","11.24225","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybean oil","Price","Soybean Oil Price Cents","13.99","Cents","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybean oil","Value","Soybean Oil Value Dollars","1.57279","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybean meal","Yield","Soybean Meal Yield Pounds","48.05701","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybean meal","Price","Soybean Meal Price Dollars","165.6","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybean meal","Value","Soybean Meal Value Dollars","3.97912","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds",NA,"Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybean hulls","Price","Soybean Hulls Price Dollars Per Short Ton",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybean hulls","Value","Soybean Hulls Value Dollars",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybeans","Value","Total Soybean Value Dollars","5.55191","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybean oil","Value","Percent of Value Soybean Oil Percent","0.28329","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybean meal","Value","Percent of Value Soybean Meal and Hulls Percent","0.71671","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybeans","Price","No. 1 Yellow Illinois Processor Dollars","4.77083","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2000/01","September-August","Soybeans","Price spread","Price Spread Between Value of Products and Soybean Price Dollars","0.78108","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybean oil","Yield","Soybean Oil Yield Pounds","11.1411","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybean oil","Price","Soybean Oil Price Cents","16.05","Cents","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybean oil","Value","Soybean Oil Value Dollars","1.78815","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybean meal","Yield","Soybean Meal Yield Pounds","44.27071","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybean meal","Price","Soybean Meal Price Dollars","166.56","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybean meal","Value","Soybean Meal Value Dollars","3.68686","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds","3.33363","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybean hulls","Price","Soybean Hulls Price Dollars Per Short Ton","61.3325","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybean hulls","Value","Soybean Hulls Value Dollars","0.10223","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybeans","Value","Total Soybean Value Dollars","5.57724","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybean oil","Value","Percent of Value Soybean Oil Percent","0.32061","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybean meal","Value","Percent of Value Soybean Meal and Hulls Percent","0.67939","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybeans","Price","No. 1 Yellow Illinois Processor Dollars","4.78583","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2001/02","September-August","Soybeans","Price spread","Price Spread Between Value of Products and Soybean Price Dollars","0.79141","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybean oil","Yield","Soybean Oil Yield Pounds","11.39406","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybean oil","Price","Soybean Oil Price Cents","21.8","Cents","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybean oil","Value","Soybean Oil Value Dollars","2.4839","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybean meal","Yield","Soybean Meal Yield Pounds","43.90165","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybean meal","Price","Soybean Meal Price Dollars","178.87","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybean meal","Value","Soybean Meal Value Dollars","3.92634","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds","3.26833","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybean hulls","Price","Soybean Hulls Price Dollars Per Short Ton","66.0025","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybean hulls","Value","Soybean Hulls Value Dollars","0.10786","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybeans","Value","Total Soybean Value Dollars","6.51811","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybean oil","Value","Percent of Value Soybean Oil Percent","0.38108","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybean meal","Value","Percent of Value Soybean Meal and Hulls Percent","0.61892","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybeans","Price","No. 1 Yellow Illinois Processor Dollars","5.8975","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2002/03","September-August","Soybeans","Price spread","Price Spread Between Value of Products and Soybean Price Dollars","0.62061","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2003/04","September-August","Soybean oil","Yield","Soybean Oil Yield Pounds","11.20092","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2003/04","September-August","Soybean oil","Price","Soybean Oil Price Cents","29.74","Cents","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2003/04","September-August","Soybean oil","Value","Soybean Oil Value Dollars","3.33115","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2003/04","September-August","Soybean meal","Yield","Soybean Meal Yield Pounds","44.31631","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2003/04","September-August","Soybean meal","Price","Soybean Meal Price Dollars","259.59","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2003/04","September-August","Soybean meal","Value","Soybean Meal Value Dollars","5.75204","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","2003/04","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds","3.37164","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
